ClipContext_pair,clip_name,context_word,genre_code,TSNE1,TSNE2
BAR-80s_LOW_02,80s_LOW_02,bar ,80s,-0.50897616,4.0946593
BAR-80s_LOW_06,80s_LOW_06,bar ,80s,2.9731462,3.333395
BAR-80s_MED_08,80s_MED_08,bar ,80s,2.337393,1.9500668
BAR-80s_MED_13,80s_MED_13,bar ,80s,-0.773503,0.9199189
BAR-Ele_LOW_09,Ele_LOW_09,bar ,Ele,-0.85840505,-1.664018
BAR-Ele_LOW_14,Ele_LOW_14,bar ,Ele,-0.94565797,-0.4470729
BAR-Ele_MED_19,Ele_MED_19,bar ,Ele,-1.6104754,3.024134
BAR-Ele_MED_20,Ele_MED_20,bar ,Ele,-1.6798699,4.212845
BAR-Jaz_LOW_19,Jaz_LOW_19,bar ,Jaz,-0.21844856,0.2226025
BAR-Jaz_LOW_21,Jaz_LOW_21,bar ,Jaz,2.2694736,2.4768052
BAR-Jaz_MED_02,Jaz_MED_02,bar ,Jaz,0.7531361,3.8358028
BAR-Jaz_MED_07,Jaz_MED_07,bar ,Jaz,1.3870013,4.362663
BAR-Met_LOW_09,Met_LOW_09,bar ,Met,1.3458213,-1.0733713
BAR-Met_LOW_14,Met_LOW_14,bar ,Met,-0.21584614,-2.4177334
BAR-Met_MED_19,Met_MED_19,bar ,Met,0.92166317,-0.8191323
BAR-Met_MED_20,Met_MED_20,bar ,Met,0.5128396,-1.7900057
CONCERT-80s_LOW_02,80s_LOW_02,concert ,80s,1.7322894,4.4030704
CONCERT-80s_LOW_06,80s_LOW_06,concert ,80s,3.0651174,2.3031926
CONCERT-80s_MED_08,80s_MED_08,concert ,80s,0.5574478,1.7108579
CONCERT-80s_MED_13,80s_MED_13,concert ,80s,-0.3518951,2.5254002
CONCERT-Ele_LOW_09,Ele_LOW_09,concert ,Ele,-0.3130709,-1.1665974
CONCERT-Ele_LOW_14,Ele_LOW_14,concert ,Ele,-1.3326617,-0.6557114
CONCERT-Ele_MED_19,Ele_MED_19,concert ,Ele,-0.033877127,5.097631
CONCERT-Ele_MED_20,Ele_MED_20,concert ,Ele,-2.7467337,3.8436778
CONCERT-Jaz_LOW_19,Jaz_LOW_19,concert ,Jaz,0.3764326,-0.25166944
CONCERT-Jaz_LOW_21,Jaz_LOW_21,concert ,Jaz,1.9668555,1.5870616
CONCERT-Jaz_MED_02,Jaz_MED_02,concert ,Jaz,1.9061897,3.536107
CONCERT-Jaz_MED_07,Jaz_MED_07,concert ,Jaz,1.3776724,3.834366
CONCERT-Met_LOW_09,Met_LOW_09,concert ,Met,1.7166213,-1.5865084
CONCERT-Met_LOW_14,Met_LOW_14,concert ,Met,1.5912445,-2.3657205
CONCERT-Met_MED_19,Met_MED_19,concert ,Met,1.0541656,-2.1091647
CONCERT-Met_MED_20,Met_MED_20,concert ,Met,1.7475065,-2.479153
MOVIE-80s_LOW_02,80s_LOW_02,movie,80s,-0.7464008,3.7650287
MOVIE-80s_LOW_06,80s_LOW_06,movie,80s,0.8501192,1.6353829
MOVIE-80s_MED_08,80s_MED_08,movie,80s,0.3221429,1.8549541
MOVIE-80s_MED_13,80s_MED_13,movie,80s,-0.44935337,2.4730654
MOVIE-Ele_LOW_09,Ele_LOW_09,movie,Ele,-1.5068722,-2.7972407
MOVIE-Ele_LOW_14,Ele_LOW_14,movie,Ele,-2.1798985,-1.6045672
MOVIE-Ele_MED_19,Ele_MED_19,movie,Ele,-1.7732351,2.2898269
MOVIE-Ele_MED_20,Ele_MED_20,movie,Ele,-2.2094226,3.7948062
MOVIE-Jaz_LOW_19,Jaz_LOW_19,movie,Jaz,-0.009852176,0.28737828
MOVIE-Jaz_LOW_21,Jaz_LOW_21,movie,Jaz,1.8731405,0.83183575
MOVIE-Jaz_MED_02,Jaz_MED_02,movie,Jaz,0.30299735,3.4975548
MOVIE-Jaz_MED_07,Jaz_MED_07,movie,Jaz,1.054565,4.9772744
MOVIE-Met_LOW_09,Met_LOW_09,movie,Met,-0.5972802,-3.4856825
MOVIE-Met_LOW_14,Met_LOW_14,movie,Met,-1.3084195,-3.669919
MOVIE-Met_MED_19,Met_MED_19,movie,Met,0.101750076,-2.1757243
MOVIE-Met_MED_20,Met_MED_20,movie,Met,0.73963946,-1.9125632
VIDEOGAME-80s_LOW_02,80s_LOW_02,video game,80s,-0.9825852,3.5312428
VIDEOGAME-80s_LOW_06,80s_LOW_06,video game,80s,-0.013069074,0.90614164
VIDEOGAME-80s_MED_08,80s_MED_08,video game,80s,0.46729866,0.9445569
VIDEOGAME-80s_MED_13,80s_MED_13,video game,80s,-1.4085472,1.2643207
VIDEOGAME-Ele_LOW_09,Ele_LOW_09,video game,Ele,-1.4387845,-2.3749895
VIDEOGAME-Ele_LOW_14,Ele_LOW_14,video game,Ele,-2.4861293,-1.5545505
VIDEOGAME-Ele_MED_19,Ele_MED_19,video game,Ele,-1.7723376,2.2454782
VIDEOGAME-Ele_MED_20,Ele_MED_20,video game,Ele,-2.7950432,3.3034904
VIDEOGAME-Jaz_LOW_19,Jaz_LOW_19,video game,Jaz,-2.1433914,-0.59159994
VIDEOGAME-Jaz_LOW_21,Jaz_LOW_21,video game,Jaz,1.9231043,0.6838952
VIDEOGAME-Jaz_MED_02,Jaz_MED_02,video game,Jaz,0.7641972,3.212288
VIDEOGAME-Jaz_MED_07,Jaz_MED_07,video game,Jaz,0.95268595,4.0033083
VIDEOGAME-Met_LOW_09,Met_LOW_09,video game,Met,-0.42823297,-3.177509
VIDEOGAME-Met_LOW_14,Met_LOW_14,video game,Met,-1.4752241,-3.3093991
VIDEOGAME-Met_MED_19,Met_MED_19,video game,Met,-2.5714447,-2.8099086
VIDEOGAME-Met_MED_20,Met_MED_20,video game,Met,-2.3950596,-2.5159004
