,bar_80s,bar_Ele,bar_Jaz,bar_Met,con_80s,con_Ele,con_Jaz,con_Met,mov_80s,mov_Ele,mov_Jaz,mov_Met,vid_80s,vid_Ele,vid_Jaz,vid_Met
bar_80s,1.0000000000000002,0.9718184208502194,0.9828936725485167,0.951288198108296,0.9844109388771964,0.9683753435009764,0.9814474961051525,0.941093705780029,0.9714515017132175,0.9460768378407958,0.9774530774546037,0.9251519485934213,0.9722955580146491,0.9345380785848525,0.9684523672010258,0.8998155942234557
bar_Ele,0.9718184208502194,0.9999999999999998,0.9704983929730195,0.9685475860763043,0.9719962419170944,0.978693344403232,0.9672424380536564,0.950400878462325,0.9620637430461267,0.9747026364927189,0.9698805721292387,0.9545170572579507,0.9795883122127443,0.9723277960385477,0.9726938521993886,0.9427495080717037
bar_Jaz,0.9828936725485167,0.9704983929730195,1.0,0.9533655274395529,0.9747936131822561,0.962146586881645,0.9825140486339636,0.9330243295460474,0.9630679836381079,0.9472144975409733,0.9814993880952325,0.9299085926719417,0.9709265937186594,0.9395730217078115,0.9828279746894457,0.9084401313773378
bar_Met,0.951288198108296,0.9685475860763043,0.9533655274395529,1.0000000000000002,0.9568756849908138,0.9672935390107438,0.9604950294329988,0.9806113326290474,0.9380086882766818,0.9600763136935648,0.9487186890779877,0.9747749819049971,0.9577505135526074,0.9579457153129616,0.9507249958725672,0.9667980410884514
con_80s,0.9844109388771964,0.9719962419170944,0.9747936131822561,0.9568756849908138,0.9999999999999991,0.9755875045094748,0.9826309665699302,0.9499870565338551,0.9804945966650984,0.952609267510865,0.9762722087003252,0.9334073456176663,0.9777759223747464,0.941683787633182,0.9667370890275981,0.9158058473387926
con_Ele,0.9683753435009764,0.978693344403232,0.962146586881645,0.9672935390107438,0.9755875045094748,0.9999999999999999,0.9671155102780957,0.960635600337375,0.9556807873596527,0.9618712319955524,0.957586287752793,0.9464850970600076,0.9721044649235467,0.9623859254478305,0.9567098181917286,0.9372466407802234
con_Jaz,0.9814474961051525,0.9672424380536564,0.9825140486339636,0.9604950294329988,0.9826309665699302,0.9671155102780957,1.0000000000000004,0.9585221456435842,0.9649132787161242,0.942576329687911,0.9775944040026954,0.9349165611365404,0.9690545023078053,0.9358863993090175,0.9736996710222572,0.919734786372525
con_Met,0.941093705780029,0.950400878462325,0.9330243295460474,0.9806113326290474,0.9499870565338551,0.960635600337375,0.9585221456435842,1.0000000000000002,0.9252934129042676,0.9365879584273942,0.9329673536642108,0.959229337933466,0.9479517458332374,0.9356136149876473,0.9345716522383497,0.9525199789356853
mov_80s,0.9714515017132175,0.9620637430461267,0.9630679836381079,0.9380086882766818,0.9804945966650984,0.9556807873596527,0.9649132787161242,0.9252934129042676,0.9999999999999998,0.9570003398957441,0.9800968013070055,0.9310272914178366,0.9792071795151884,0.9400422234678777,0.9665729342750544,0.9070659176617439
mov_Ele,0.9460768378407958,0.9747026364927189,0.9472144975409733,0.9600763136935648,0.952609267510865,0.9618712319955524,0.942576329687911,0.9365879584273942,0.9570003398957441,1.0,0.9562287094612162,0.9726511992972044,0.9772696595010508,0.9833887799377097,0.9588874495136841,0.9610443030963307
mov_Jaz,0.9774530774546037,0.9698805721292387,0.9814993880952325,0.9487186890779877,0.9762722087003252,0.957586287752793,0.9775944040026954,0.9329673536642108,0.9800968013070055,0.9562287094612162,1.0000000000000004,0.9343863071904039,0.9793797542830396,0.9449965135325527,0.9850618193383306,0.9177730989089574
mov_Met,0.9251519485934213,0.9545170572579507,0.9299085926719417,0.9747749819049971,0.9334073456176663,0.9464850970600076,0.9349165611365404,0.959229337933466,0.9310272914178366,0.9726511992972044,0.9343863071904039,0.9999999999999998,0.9536178715683542,0.9666748009408036,0.9397387106010952,0.9745417160538137
vid_80s,0.9722955580146491,0.9795883122127443,0.9709265937186594,0.9577505135526074,0.9777759223747464,0.9721044649235467,0.9690545023078053,0.9479517458332374,0.9792071795151884,0.9772696595010508,0.9793797542830396,0.9536178715683542,0.9999999999999999,0.9685108404487086,0.9805637091510533,0.9413604088495108
vid_Ele,0.9345380785848525,0.9723277960385477,0.9395730217078115,0.9579457153129616,0.941683787633182,0.9623859254478305,0.9358863993090175,0.9356136149876473,0.9400422234678777,0.9833887799377097,0.9449965135325527,0.9666748009408036,0.9685108404487086,0.9999999999999998,0.955432913565593,0.9663891419175532
vid_Jaz,0.9684523672010258,0.9726938521993886,0.9828279746894457,0.9507249958725672,0.9667370890275981,0.9567098181917286,0.9736996710222572,0.9345716522383497,0.9665729342750544,0.9588874495136841,0.9850618193383306,0.9397387106010952,0.9805637091510533,0.955432913565593,1.0000000000000007,0.9307395912404197
vid_Met,0.8998155942234557,0.9427495080717037,0.9084401313773378,0.9667980410884514,0.9158058473387926,0.9372466407802234,0.919734786372525,0.9525199789356853,0.9070659176617439,0.9610443030963307,0.9177730989089574,0.9745417160538137,0.9413604088495108,0.9663891419175532,0.9307395912404197,0.9999999999999997
