"clip_name","context_word","genre","familiarity","N","Mean","SD","SE"
"80s_LOW_02_Breaking_Away.mp3","bar","80s","LOW",16,3.25,1.291,0.323
"80s_LOW_02_Breaking_Away.mp3","concert","80s","LOW",23,3.087,1.345,0.281
"80s_LOW_02_Breaking_Away.mp3","movie","80s","LOW",25,2.92,1.187,0.237
"80s_LOW_02_Breaking_Away.mp3","videogame","80s","LOW",16,3.188,1.721,0.43
"80s_LOW_06_Summer_Beach.mp3","bar","80s","LOW",23,3,1.348,0.281
"80s_LOW_06_Summer_Beach.mp3","concert","80s","LOW",14,2.786,1.672,0.447
"80s_LOW_06_Summer_Beach.mp3","movie","80s","LOW",21,3.619,1.071,0.234
"80s_LOW_06_Summer_Beach.mp3","videogame","80s","LOW",22,3.091,1.63,0.348
"80s_MED_08_After_Tonight.mp3","bar","80s","MED",26,2.923,1.44,0.282
"80s_MED_08_After_Tonight.mp3","concert","80s","MED",11,2.636,1.286,0.388
"80s_MED_08_After_Tonight.mp3","movie","80s","MED",26,2.846,1.156,0.227
"80s_MED_08_After_Tonight.mp3","videogame","80s","MED",17,2.824,1.59,0.386
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","bar","80s","MED",20,2.9,1.553,0.347
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","concert","80s","MED",23,2.957,1.397,0.291
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","80s","MED",21,2.762,1.411,0.308
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","videogame","80s","MED",16,3.5,1.155,0.289
"Electronic_LOW_09_Expansion.mp3","bar","Electronic","LOW",14,3.429,1.604,0.429
"Electronic_LOW_09_Expansion.mp3","concert","Electronic","LOW",18,3,1.414,0.333
"Electronic_LOW_09_Expansion.mp3","movie","Electronic","LOW",23,3,1.508,0.314
"Electronic_LOW_09_Expansion.mp3","videogame","Electronic","LOW",25,3.48,1.358,0.272
"Electronic_LOW_14_Tape.mp3","bar","Electronic","LOW",19,3.105,1.595,0.366
"Electronic_LOW_14_Tape.mp3","concert","Electronic","LOW",20,2.9,1.373,0.307
"Electronic_LOW_14_Tape.mp3","movie","Electronic","LOW",21,2.619,1.465,0.32
"Electronic_LOW_14_Tape.mp3","videogame","Electronic","LOW",20,3.15,1.599,0.357
"Electronic_MED_19_Looped.mp3","bar","Electronic","MED",25,2.92,1.152,0.23
"Electronic_MED_19_Looped.mp3","concert","Electronic","MED",17,3.353,1.412,0.342
"Electronic_MED_19_Looped.mp3","movie","Electronic","MED",20,2.95,1.146,0.256
"Electronic_MED_19_Looped.mp3","videogame","Electronic","MED",18,3.333,1.455,0.343
"Electronic_MED_20_The_Distance.mp3","bar","Electronic","MED",17,2.824,1.667,0.404
"Electronic_MED_20_The_Distance.mp3","concert","Electronic","MED",27,2.704,1.171,0.225
"Electronic_MED_20_The_Distance.mp3","movie","Electronic","MED",17,2.294,1.105,0.268
"Electronic_MED_20_The_Distance.mp3","videogame","Electronic","MED",19,2.947,1.433,0.329
"Jazz_LOW_19_Sembellogy.mp3","bar","Jazz","LOW",20,3.2,1.576,0.352
"Jazz_LOW_19_Sembellogy.mp3","concert","Jazz","LOW",24,2.708,1.16,0.237
"Jazz_LOW_19_Sembellogy.mp3","movie","Jazz","LOW",10,3,1.491,0.471
"Jazz_LOW_19_Sembellogy.mp3","videogame","Jazz","LOW",26,3,1.166,0.229
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","bar","Jazz","LOW",24,3,1.588,0.324
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","concert","Jazz","LOW",15,2.4,1.183,0.306
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","Jazz","LOW",21,2.476,1.569,0.342
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","videogame","Jazz","LOW",20,2.4,1.273,0.285
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar","Jazz","MED",18,2.833,1.383,0.326
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","concert","Jazz","MED",25,3.16,1.491,0.298
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","movie","Jazz","MED",18,3.611,0.979,0.231
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","videogame","Jazz","MED",19,2.632,1.3,0.298
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","bar","Jazz","MED",25,3.32,1.547,0.309
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","concert","Jazz","MED",25,3,1.414,0.283
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","movie","Jazz","MED",17,2.941,1.298,0.315
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","videogame","Jazz","MED",13,3.615,1.387,0.385
"Metal_LOW_09_Darkside.mp3","bar","Metal","LOW",23,3,1.477,0.308
"Metal_LOW_09_Darkside.mp3","concert","Metal","LOW",13,3.308,1.601,0.444
"Metal_LOW_09_Darkside.mp3","movie","Metal","LOW",22,2.955,1.527,0.326
"Metal_LOW_09_Darkside.mp3","videogame","Metal","LOW",22,3.364,1.465,0.312
"Metal_LOW_14_Viaje_Por_Existir.mp3","bar","Metal","LOW",16,3.125,1.455,0.364
"Metal_LOW_14_Viaje_Por_Existir.mp3","concert","Metal","LOW",21,2.762,1.375,0.3
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","Metal","LOW",17,3.353,1.579,0.383
"Metal_LOW_14_Viaje_Por_Existir.mp3","videogame","Metal","LOW",26,3.5,1.273,0.25
"Metal_MED_19_Thunderhorse.mp3","bar","Metal","MED",17,3.353,1.412,0.342
"Metal_MED_19_Thunderhorse.mp3","concert","Metal","MED",21,3.143,1.352,0.295
"Metal_MED_19_Thunderhorse.mp3","movie","Metal","MED",20,3.55,1.432,0.32
"Metal_MED_19_Thunderhorse.mp3","videogame","Metal","MED",22,3.091,1.411,0.301
"Metal_MED_20_Welcome_to_the_Family.mp3","bar","Metal","MED",17,2.824,0.883,0.214
"Metal_MED_20_Welcome_to_the_Family.mp3","concert","Metal","MED",23,4,1.348,0.281
"Metal_MED_20_Welcome_to_the_Family.mp3","movie","Metal","MED",21,3.381,1.431,0.312
"Metal_MED_20_Welcome_to_the_Family.mp3","videogame","Metal","MED",19,3.579,1.465,0.336
